Code,Type,Term,Select for,Changes starting with 2015 cases,,,,,
8940/3,Rpt,Malignant chondroid syringoma,,,,,,,
8941/3,Rpt,Carcinoma in pleomorphic adenoma,,,,,,,
8950/3,Rpt,Mullerian mixed tumor,,,,,,,
8951/3,Rpt,Mesodermal mixed tumor,,,,,,,
8959/0,,Benign cystic nephroma,,,,,,,
8959/1,,Cystic partially differentiated nephroblastoma,,,,,,,
8959/3,Rpt,Malignant cystic nephroma,,,,,,,
8959/3,Rpt,Malignant multilocular cystic nephroma,,,,,,,
8960/1,,Mesoblastic nephroma,,,,,,,
8960/3,Rpt,"Nephroblastoma, NOS",,,,,,,
8960/3,Rpt,Wilms tumor,,,,,,,
8960/3,Rpt,"Nephroma, NOS",,,,,,,
8963/3,Rpt,Malignant rhabdoid tumor,,,,,,,
8963/3,Rpt,Rhabdoid sarcoma,,,,,,,
8963/3,Rpt,"Rhabdoid tumor, NOS",,,,,,,
8964/3,Rpt,Clear cell sarcoma of kidney,,,,,,,
8965/0,,Nephrogenic adenofibroma,,,,,,,
8966/0,,Renomedullary interstitial cell tumor,,,,,,,
8966/0,,Renomedullary fibroma,,,,,,,
8967/0,,Ossifying renal tumor,,,,,,,
8970/3,Rpt,Hepatoblastoma,,,,,,,
8970/3,Rpt,Embryonal hepatoma,,,,,,,
8970/3,Rpt,"Hepatoblastoma, epithelioid (22.0)",,,,,,,
8970/3,Rpt,"Hepatoblastoma, mixed epithelial-mesenchymal",,,,,,,
8971/3,Rpt,Pancreatoblastoma,,,,,,,
8972/3,Rpt,Pulmonary blastoma,,,,,,,
8972/3,Rpt,Pneumoblastoma,,,,,,,
8973/3,Rpt,Pleuropulmonary blastoma,,,,,,,
8974/1,,Sialoblastoma,,,,,,,
8975/1,,Calcifying nested epithelial stromal tumor (22.0),,,,,,,
8980/3,Rpt,"Carcinosarcoma, NOS",,,,,,,
8981/3,Rpt,"Carcinosarcoma, embryonal",,,,,,,
8982/0,,Myoepithelioma,,,,,,,
8982/0,,Myoepithelial tumor,,,,,,,
8982/0,,Myoepithelial adenoma,,,,,,,
8982/3,Rpt,Malignant myoepithelioma,,,,,,,
8982/3,Rpt,Myoepithelial carcinoma,,,,,,,
8983/0,,Adenomyoepithelioma,,,,,,,
8990/0,,"Mesenchymoma, benign",,,,,,,
8990/1,,"Mesenchymoma, NOS",,,,,,,
8990/1,,Mixed mesenchymal tumor,,,,,,,
8990/3,Rpt,"Mesenchymoma, malignant",,,,,,,
8990/3,Rpt,Mixed mesenchymal sarcoma,,,,,,,
8991/3,Rpt,Embryonal sarcoma,,,,,,,
9000/0,,"Brenner tumor, NOS",,,,,,,
9000/1,,"Brenner tumor, borderline malignancy",,,,,,,
9000/1,,"Brenner tumor, proliferating",,,,,,,
9000/3,Rpt,"Brenner tumor, malignant",,,,,,,
9010/0,,"Fibroadenoma, NOS",,,,,,,
9011/0,,Intracanalicular fibroadenoma,,,,,,,
9012/0,,Pericanalicular fibroadenoma,,,,,,,
9013/0,,"Adenofibroma, NOS",,,,,,,
9013/0,,"Cystadenofibroma, NOS",,,,,,,
9013/0,,Papillary adenofibroma,,,,,,,
9014/0,,"Serous adenofibroma, NOS",,,,,,,
9014/0,,"Serous cystadenofibroma, NOS",,,,,,,
9014/1,,Serous adenofibroma of borderline malignancy,,,,,,,
9014/1,,Serous cystadenofibroma of borderline malignancy,,,,,,,
9014/3,Rpt,Serous adenocarcinofibroma,,,,,,,
9014/3,Rpt,Malignant serous adenofibroma,,,,,,,
9014/3,Rpt,Serous cystadenocarcinofibroma,,,,,,,
9014/3,Rpt,Malignant serous cystadenofibroma,,,,,,,
9015/0,,"Mucinous adenofibroma, NOS",,,,,,,
9015/0,,"Mucinous cystadenofibroma, NOS",,,,,,,
9015/1,,Mucinous adenofibroma of borderline malignancy,,,,,,,
9015/1,,Mucinous cystadenofibroma of borderline malignancy,,,,,,,
9015/3,Rpt,Mucinous adenocarcinofibroma,,,,,,,
9015/3,Rpt,Malignant mucinous adenofibroma,,,,,,,
9015/3,Rpt,Mucinous cystadenocarcinofibroma,,,,,,,
9015/3,Rpt,Malignant mucinous cystadenofibroma,,,,,,,
9016/0,,Giant fibroadenoma,,,,,,,
9020/0,,"Phyllodes tumor, benign",,,,,,,
9020/0,,"Cystosarcoma phyllodes, benign",,,,,,,
9020/1,,"Phyllodes tumor, borderline",,,,,,,
9020/1,,"Cystosarcoma phyllodes, NOS",,,,,,,
9020/1,,"Phyllodes tumor, NOS",,,,,,,
9020/3,Rpt,"Phyllodes tumor, malignant",,,,,,,
9020/3,Rpt,"Cystosarcoma phyllodes, malignant",,,,,,,
9030/0,,Juvenile fibroadenoma,,,,,,,
9040/0,,"Synovioma, benign",,,,,,,
9040/3,Rpt,"Synovial sarcoma, NOS",,,,,,,
9040/3,Rpt,"Synovioma, NOS",,,,,,,
9040/3,Rpt,"Synovioma, malignant",,,,,,,
9041/3,Rpt,"Synovial sarcoma, spindle cell",,,,,,,
9041/3,Rpt,"Synovial sarcoma, monophasic fibrous",,,,,,,
9042/3,Rpt,"Synovial sarcoma, epithelioid cell",,,,,,,
9043/3,Rpt,"Synovial sarcoma, biphasic",,,,,,,
9044/3,Rpt,"Clear cell sarcoma, NOS",,,,,,,
9044/3,Rpt,"Clear cell sarcoma, of tendons and aponeuroses",,,,,,,
9044/3,Rpt,"Melanoma, malignant, of soft parts",,,,,,,
9050/0,,"Mesothelioma, benign",,,,,,,
9050/3,Rpt,"Mesothelioma, malignant",,,,,,,
9050/3,Rpt,"Mesothelioma, NOS",,,,,,,
9051/0,,"Fibrous mesothelioma, benign",,,,,,,
9051/3,Rpt,"Fibrous mesothelioma, malignant",,,,,,,
9051/3,Rpt,"Fibrous mesothelioma, NOS",,,,,,,
9051/3,Rpt,Spindled mesothelioma,,,,,,,
9051/3,Rpt,Sarcomatoid mesothelioma,,,,,,,
9051/3,Rpt,Desmoplastic mesothelioma,,,,,,,
9052/0,,"Epithelioid mesothelioma, benign",,,,,,,
9052/0,,"Well differentiated papillary mesothelioma, benign",,,,,,,
9052/0,,Mesothelial papilloma,,,,,,,
9052/3,Rpt,"Epithelioid mesothelioma, malignant",,,,,,,
9052/3,Rpt,"Epithelioid mesothelioma, NOS",,,,,,,
9053/3,Rpt,"Mesothelioma, biphasic, malignant",,,,,,,
9053/3,Rpt,"Mesothelioma, biphasic, NOS",,,,,,,
9054/0,Rpt,"Adenomatoid tumor, NOS",,,,,,,
9055/0,,"Multicystic mesothelioma, benign",,,,,,,
9055/0,,"Cystic mesothelioma, benign",,,,,,,
9055/1,,"Cystic mesothelioma, NOS",,,,,,,
9060/3,Rpt,Dysgerminoma,,,,,,,
9061/3,Rpt,"Seminoma, NOS",,,,,,,
9062/3,Rpt,"Seminoma, anaplastic",,,,,,,
9062/3,Rpt,Seminoma with high mitotic index,,,,,,,
9063/3,Rpt,Spermatocytic seminoma,,,,,,,
9063/3,Rpt,Spermatocytoma,,,,,,,
9064/2,Rpt,Intratubular malignant germ cells,,,,,,,
9064/2,Rpt,Intratubular germ cell neoplasia,,,,,,,
9064/3,Rpt,Germinoma,,,,,,,
9064/3,Rpt,"Germ cell tumor, NOS",,,,,,,
9065/3,Rpt,"Germ cell tumor, nonseminomatous",,,,,,,
9070/3,Rpt,"Embryonal carcinoma, NOS",,,,,,,
9070/3,Rpt,Embryonal adenocarcinoma,,,,,,,
9071/3,Rpt,Yolk sac tumor,,,,,,,
9071/3,Rpt,Endodermal sinus tumor,,,,,,,
9071/3,Rpt,Polyvesicular vitelline tumor,,,,,,,
9071/3,Rpt,Orchioblastoma,,,,,,,
9071/3,Rpt,"Embryonal carcinoma, infantile",,,,,,,
9071/3,Rpt,Hepatoid yolk sac tumor,,,,,,,
9072/3,Rpt,Polyembryoma,,,,,,,
9072/3,Rpt,"Embryonal carcinoma, polyembryonal type",,,,,,,
9073/1,,Gonadoblastoma,,,,,,,
9073/1,,Gonocytoma,,,,,,,
9080/0,,"Teratoma, benign",,,,,,,
9080/0,,Adult cystic teratoma,,,,,,,
9080/0,,"Adult teratoma, NOS",,,,,,,
9080/0,,"Cystic teratoma, NOS",,,,,,,
9080/0,,"Teratoma, differentiated",,,,,,,
9080/0,Rpt as /3 post puberty,Mature teratoma,,,,,,,
9080/1,,"Teratoma, NOS",,,,,,,
9080/1,,Solid teratoma,,,,,,,
9080/3,Rpt,"Teratoma, malignant, NOS",,,,,,,
9080/3,Rpt,Embryonal teratoma,,,,,,,
9080/3,Rpt,"Teratoblastoma, malignant",,,,,,,
9080/3,Rpt,"Immature teratoma, malignant",,,,,,,
9080/3,Rpt,"Immature teratoma, NOS",,,,,,,
9081/3,Rpt,Teratocarcinoma,,,,,,,
9081/3,Rpt,Mixed embryonal carcinoma and teratoma,,,,,,,
9082/3,Rpt,"Malignant teratoma, undifferentiated",,,,,,,
9082/3,Rpt,"Malignant teratoma, anaplastic",,,,,,,
9083/3,Rpt,"Malignant teratoma, intermediate",,,,,,,
9084/0,,"Dermoid cyst, NOS",,,,,,,
9084/0,,"Dermoid, NOS",,,,,,,
9084/3,Rpt,Teratoma with malignant transformation,,,,,,,
9084/3,Rpt,Dermoid cyst with malignant transformation,,,,,,,
9084/3,Rpt,Dermoid cyst with secondary tumor,,,,,,,
9085/3,Rpt,Mixed germ cell tumor,,,,,,,
9085/3,Rpt,Mixed teratoma and seminoma,,,,,,,
9090/0,,"Struma ovarii, NOS",,,,,,,
9090/3,Rpt,"Struma ovarii, malignant",,,,,,,
9091/1,,Strumal carcinoid,,,,,,,
9091/1,,Struma ovarii and carcinoid,,,,,,,
9100/0,,"Hydatidiform mole, NOS",,,,,,,
9100/0,,Hydatid mole,,,,,,,
9100/0,,Complete hydatidiform mole,,,,,,,
9100/1,,Invasive hydatidiform mole,,,,,,,
9100/1,,Chorioadenoma destruens,,,,,,,
9100/1,,Chorioadenoma,,,,,,,
9100/1,,"Invasive mole, NOS",,,,,,,
9100/1,,Malignant hydatidiform mole,,,,,,,
9100/3,Rpt,"Choriocarcinoma, NOS",,,,,,,
9100/3,Rpt,Chorionepithelioma,,,,,,,
9100/3,Rpt,Chorioepithelioma,,,,,,,
9101/3,Rpt,Choriocarcinoma combined with other germ cell elements,,,,,,,
9101/3,Rpt,Choriocarcinoma combined with teratoma,,,,,,,
9101/3,Rpt,Choriocarcinoma combined with embryonal carcinoma,,,,,,,
9102/3,Rpt,"Malignant teratoma, trophoblastic",,,,,,,
9103/0,Rpt,Partial hydatidiform mole,,,,,,,
9104/1,Rpt,Placental site trophoblastic tumor,,,,,,,
9105/3,Rpt,"Trophoblastic tumor, epithelioid",,,,,,,
9110/0,,"Mesonephroma, benign",,,,,,,
9110/0,,Mesonephric adenoma,,,,,,,
9110/0,,Wolffian duct adenoma,,,,,,,
9110/1,,"Mesonephric tumor, NOS",,,,,,,
9110/1,,Wolffian duct tumor,,,,,,,
9110/3,Rpt,"Mesonephroma, malignant",,,,,,,
9110/3,Rpt,Mesonephric adenocarcinoma,,,,,,,
9110/3,Rpt,"Mesonephroma, NOS",,,,,,,
9110/3,Rpt,Wolffian duct carcinoma,,,,,,,
9120/0,Rpt select for,"Hemangioma, NOS",,,,,,,
9120/0,,"Angioma, NOS",,,,,,,
9120/0,,Chorioangioma,,,,,,,
9120/3,Rpt,Hemangiosarcoma,,,,,,,
9120/3,Rpt,Angiosarcoma,,,,,,,
9121/0,,Cavernous hemangioma,,,,,,,
9122/0,,Venous hemangioma,,,,,,,
9123/0,,Racemose hemangioma,,,,,,,
9123/0,,Arteriovenous hemangioma,,,,,,,
9124/3,Rpt,Kupffer cell sarcoma,,,,,,,
9125/0,,Epithelioid hemangioma,,,,,,,
9125/0,,Histiocytoid hemangioma,,,,,,,
9130/0,,"Hemangioendothelioma, benign",,,,,,,
9130/1,,"Hemangioendothelioma, NOS",,,,,,,
9130/1,,Angioendothelioma,,,,,,,
9130/1,,Kaposiform hemangioendothelioma,,,,,,,
9130/3,Rpt,"Hemangioendothelioma, malignant",,,,,,,
9130/3,Rpt,Hemangioendothelial sarcoma,,,,,,,
9131/0,,Capillary hemangioma,,,,,,,
9131/0,,Hemangioma simplex,,,,,,,
9131/0,,Infantile hemangioma,,,,,,,
9131/0,,Plexiform hemangioma,,,,,,,
9131/0,,Juvenile hemangioma,,,,,,,
9132/0,,Intramuscular hemangioma,,,,,,,
9133/1,,"Epithelioid hemangioendothelioma, NOS",,,,,,,
9133/3,Rpt,"Epithelioid hemangioendothelioma, malignant",,,,,,,
9135/1,,Endovascular papillary angioendothelioma,,,,,,,
9135/1,,Dabska tumor,,,,,,,
9136/1,,Spindle cell hemangioendothelioma,,,,,,,
9136/1,,Spindle cell angioendothelioma,,,,,,,
9140/3,Rpt,Kaposi sarcoma,,,,,,,
9140/3,Rpt,Multiple hemorrhagic sarcoma,,,,,,,
9141/0,,Angiokeratoma,,,,,,,
9142/0,,Verrucous keratotic hemangioma,,,,,,,
9150/0,,"Hemangiopericytoma, benign",,,,,,,
9150/1,,"Hemangiopericytoma, NOS",,,,,,,
9150/1,,Hemangiopericytic meningioma,,,,,,,
9150/3,Rpt,"Hemangiopericytoma, malignant",,,,,,,
9160/0,,"Angiofibroma, NOS",,,,,,,
9160/0,,Juvenile angiofibroma,,,,,,,
9160/0,,Fibrous papule of nose,,,,,,,
9160/0,,Involuting nevus,,,,,,,
9160/0,,Giant cell angiofibroma,,,,,,,
9160/0,,Cellular angiofibroma,,,,,,,
9161/0,,Acquired tufted hemangioma,,,,,,,
9161/1,,Hemangioblastoma,,,,,,,
9161/1,,Angioblastoma,,,,,,,
9170/0,,"Lymphangioma, NOS",,,,,,,
9170/0,,"Lymphangioendothelioma, NOS",,,,,,,
9170/3,Rpt,Lymphangiosarcoma,,,,,,,
9170/3,Rpt,Lymphangioendothelial sarcoma,,,,,,,
9170/3,Rpt,"Lymphangioendothelioma, malignant",,,,,,,
9171/0,,Capillary lymphangioma,,,,,,,
9172/0,,Cavernous lymphangioma,,,,,,,
9173/0,,Cystic lymphangioma,,,,,,,
9173/0,,"Hygroma, NOS",,,,,,,
9173/0,,Cystic hygroma,,,,,,,
9174/0,,Lymphangiomyoma,,,,,,,
9174/1,,Lymphangiomyomatosis,,,,,,,
9174/1,,Lymphangioleiomyomatosis,,,,,,,
9175/0,,Hemolymphangioma,,,,,,,
9180/0,,"Osteoma, NOS",,,,,,,
9180/3,Rpt,"Osteosarcoma, NOS",,,,,,,
9180/3,Rpt,"Osteogenic sarcoma, NOS",,,,,,,
9180/3,Rpt,Osteochondrosarcoma,,,,,,,
9180/3,Rpt,Osteoblastic sarcoma,,,,,,,
9181/3,Rpt,Chondroblastic osteosarcoma,,,,,,,
9182/3,Rpt,Fibroblastic osteosarcoma,,,,,,,
9182/3,Rpt,Osteofibrosarcoma,,,,,,,
9183/3,Rpt,Telangiectatic osteosarcoma,,,,,,,
9184/3,Rpt,Osteosarcoma in Paget disease of bone,,,,,,,
9185/3,Rpt,Small cell osteosarcoma,,,,,,,
9185/3,Rpt,Round cell osteosarcoma,,,,,,,
9186/3,Rpt,Central osteosarcoma,,,,,,,
9186/3,Rpt,Conventional central osteosarcoma,,,,,,,
9186/3,Rpt,Medullary osteosarcoma,,,,,,,
9187/3,Rpt,Intraosseous well differentiated osteosarcoma,,,,,,,
9187/3,Rpt,Intraosseous low grade osteosarcoma,,,,,,,
9191/0,,"Osteoid osteoma, NOS",,,,,,,
9192/3,Rpt,Parosteal osteosarcoma,,,,,,,
9192/3,Rpt,Juxtacortical osteosarcoma,,,,,,,
9193/3,Rpt,Periosteal osteosarcoma,,,,,,,
9194/3,Rpt,High grade surface osteosarcoma,,,,,,,
9195/3,Rpt,Intracortical osteosarcoma,,,,,,,
9200/0,,"Osteoblastoma, NOS",,,,,,,
9200/0,,Giant osteoid osteoma,,,,,,,
9200/1,,Aggressive osteoblastoma,,,,,,,
9210/0,,Osteochondroma,,,,,,,
9210/0,,Cartilaginous exostosis,,,,,,,
9210/0,,Osteocartilaginous exostosis,,,,,,,
9210/0,,Ecchondroma,,,,,,,
9210/1,,"Osteochondromatosis, NOS",,,,,,,
9210/1,,Ecchondrosis,,,,,,,
9220/0,,"Chondroma, NOS",,,,,,,
9220/0,,Enchondroma,,,,,,,
9220/1,,"Chondromatosis, NOS",,,,,,,
9220/3,Rpt,"Chondrosarcoma, NOS",,,,,,,
9220/3,Rpt,Fibrochondrosarcoma,,,,,,,
9221/0,,Juxtacortical chondroma,,,,,,,
9221/0,,Periosteal chondroma,,,,,,,
9221/3,Rpt,Juxtacortical chondrosarcoma,,,,,,,
9221/3,Rpt,Periosteal chondrosarcoma,,,,,,,
9230/0,,"Chondroblastoma, NOS",,,,,,,
9230/0,,Chondromatous giant cell tumor,,,,,,,
9230/0,,Codman tumor,,,,,,,
9230/3,Rpt,"Chondroblastoma, malignant",,,,,,,
9231/3,Rpt,Myxoid chondrosarcoma,,,,,,,
9240/3,Rpt,Mesenchymal chondrosarcoma,,,,,,,
9241/0,,Chondromyxoid fibroma,,,,,,,
9242/3,Rpt,Clear cell chondrosarcoma,,,,,,,
9243/3,Rpt,Dedifferentiated chondrosarcoma,,,,,,,
9250/1,,"Giant cell tumor of bone, NOS",,,,,,,
9250/1,,"Osteoclastoma, NOS",,,,,,,
9250/3,Rpt,"Giant cell tumor of bone, malignant",,,,,,,
9250/3,Rpt,"Osteoclastoma, malignant",,,,,,,
9250/3,Rpt,Giant cell sarcoma of bone,,,,,,,
9251/1,,"Giant cell tumor of soft parts, NOS",,,,,,,
9251/3,Rpt,Malignant giant cell tumor of soft parts,,,,,,,
9252/0,,Tenosynovial giant cell tumor,,,,,,,
9252/0,,Fibrous histiocytoma of tendon sheath,,,,,,,
9252/0,,Giant cell tumor of tendon sheath,,,,,,,
9252/3,Rpt,Malignant tenosynovial giant cell tumor,,,,,,,
9252/3,Rpt,"Giant cell tumor of tendon sheath, malignant",,,,,,,
9260/3,Rpt,Ewing sarcoma,,,,,,,
9260/3,Rpt,Ewing tumor,,,,,,,
9261/3,Rpt,Adamantinoma of long bones,,,,,,,
9261/3,Rpt,Tibial adamantinoma,,,,,,,
9262/0,,Ossifying fibroma,,,,,,,
9262/0,,Fibro-osteoma,,,,,,,
9262/0,,Osteofibroma,,,,,,,
9270/0,,"Odontogenic tumor, benign",,,,,,,
9270/1,,"Odontogenic tumor, NOS",,,,,,,
9270/3,Rpt,"Odontogenic tumor, malignant",,,,,,,
9270/3,Rpt,Odontogenic carcinoma,,,,,,,
9270/3,Rpt,Odontogenic sarcoma,,,,,,,
9270/3,Rpt,Primary intraosseous carcinoma,,,,,,,
9270/3,Rpt,Ameloblastic carcinoma,,,,,,,
9271/0,,Ameloblastic fibrodentinoma,,,,,,,
9271/0,,Dentinoma,,,,,,,
9272/0,,"Cementoma, NOS",,,,,,,
9272/0,,Periapical cemental dysplasia,,,,,,,
9272/0,,Periapical cemento-osseous dysplasia,,,,,,,
9273/0,,"Cementoblastoma, benign",,,,,,,
9274/0,,Cementifying fibroma,,,,,,,
9274/0,,Cemento-ossifying fibroma,,,,,,,
9275/0,,Gigantiform cementoma,,,,,,,
9275/0,,Florid osseous dysplasia,,,,,,,
9280/0,,"Odontoma, NOS",,,,,,,
9281/0,,Compound odontoma,,,,,,,
9282/0,,Complex odontoma,,,,,,,
9290/0,,Ameloblastic fibro-odontoma,,,,,,,
9290/0,,Fibroameloblastic odontoma,,,,,,,
9290/3,Rpt,Ameloblastic odontosarcoma,,,,,,,
9290/3,Rpt,Ameloblastic fibrodentinosarcoma,,,,,,,
9290/3,Rpt,Ameloblastic fibro-odontosarcoma,,,,,,,
9300/0,,Adenomatoid odontogenic tumor,,,,,,,
9300/0,,Adenoameloblastoma,,,,,,,
9301/0,,Calcifying odontogenic cyst,,,,,,,
9302/0,,Odontogenic ghost cell tumor,,,,,,,
9310/0,,"Ameloblastoma, NOS",,,,,,,
9310/0,,"Adamantinoma, NOS",,,,,,,
9310/3,Rpt,"Ameloblastoma, malignant",,,,,,,
9310/3,Rpt,"Adamantinoma, malignant",,,,,,,
9311/0,,Odontoameloblastoma,,,,,,,
9312/0,,Squamous odontogenic tumor,,,,,,,
9320/0,,Odontogenic myxoma,,,,,,,
9320/0,,Odontogenic myxofibroma,,,,,,,
9321/0,,Central odontogenic fibroma,,,,,,,
9321/0,,"Odontogenic fibroma, NOS",,,,,,,
9322/0,,Peripheral odontogenic fibroma,,,,,,,
9330/0,,Ameloblastic fibroma,,,,,,,
9330/3,Rpt,Ameloblastic fibrosarcoma,,,,,,,
9330/3,Rpt,Ameloblastic sarcoma,,,,,,,
9330/3,Rpt,Odontogenic fibrosarcoma,,,,,,,
9340/0,,Calcifying epithelial odontogenic tumor,,,,,,,
9340/0,,Pindborg tumor,,,,,,,
9341/1,,Clear cell odontogenic tumor,,,,,,,
9342/3,Rpt,Odontogenic carcinosarcoma,,,,,,,
9350/1,,Craniopharyngioma,,,,,,,
9350/1,,Rathke pouch tumor,,,,,,,
9351/1,,"Craniopharyngioma, adamantinomatous",,,,,,,
9352/1,,"Craniopharyngioma, papillary",,,,,,,
9360/1,,Pinealoma,,,,,,,
9361/1,,Pineocytoma,,,,,,,
9362/3,Rpt,Pineoblastoma,,,,,,,
9362/3,Rpt,Mixed pineal tumor,,,,,,,
9362/3,Rpt,Mixed pineocytoma-pineoblastoma,,,,,,,
9362/3,Rpt,Pineal parenchymal tumor of intermediate differentiation,,,,,,,
9362/3,Rpt,Transitional pineal tumor,,,,,,,
9363/0,,Melanotic neuroectodermal tumor,,,,,,,
9363/0,,Retinal anlage tumor,,,,,,,
9363/0,,Melanoameloblastoma,,,,,,,
9363/0,,Melanotic progonoma,,,,,,,
9364/3,Rpt,Peripheral neuroectodermal tumor,,,,,,,
9364/3,Rpt,"Neuroectodermal tumor, NOS",,,,,,,
9364/3,Rpt,"Peripheral primitive neuroectodermal tumor, NOS",,,,,,,
9364/3,Rpt,PPNET,,,,,,,
9365/3,Rpt,Askin tumor,,,,,,,
9370/3,Rpt,"Chordoma, NOS",,,,,,,
9371/3,Rpt,Chondroid chordoma,,,,,,,
9372/3,Rpt,Dedifferentiated chordoma,,,,,,,
9373/0,Rpt select for,Parachordoma,"Brain, CNS, and Pituitary",,,,,,
9380/1,Rpt select for,Angiocentric  glioma,"Brain, CNS, and Pituitary",,,,,,
9380/3,Rpt,"Glioma, malignant",,,,,,,
9380/3,Rpt,"Glioma, NOS",,,,,,,
9381/3,Rpt,Gliomatosis cerebri,,,,,,,
9382/3,Rpt,Mixed glioma,,,,,,,
9382/3,Rpt,Oligoastrocytoma,,,,,,,
9382/3,Rpt,Anaplastic oligoastrocytoma,,,,,,,
9383/1,Rpt select for,Subependymoma,"Brain, CNS, and Pituitary",,,,,,
9383/1,Rpt select for,Subependymal glioma,"Brain, CNS, and Pituitary",,,,,,
9383/1,Rpt select for,"Subependymal astrocytoma, NOS","Brain, CNS, and Pituitary",,,,,,
9383/1,Rpt select for,Mixed subependymoma-ependymoma,"Brain, CNS, and Pituitary",,,,,,
9384/1,Rpt select for,Subependymal giant cell astrocytoma,"Brain, CNS, and Pituitary",,,,,,
9390/0,Rpt select for,"Choroid plexus papilloma, NOS","Brain, CNS, and Pituitary",,,,,,
9390/1,Rpt select for,Atypical choroid plexus papilloma,"Brain, CNS, and Pituitary",,,,,,
9390/3,Rpt,Choroid plexus carcinoma,,,,,,,
9390/3,Rpt,"Choroid plexus papilloma, anaplastic",,,,,,,
9390/3,Rpt,"Choroid plexus papilloma, malignant",,,,,,,
9391/3,Rpt,"Ependymoma, NOS",,,,,,,
9391/3,Rpt,Epithelial ependymoma,,,,,,,
9391/3,Rpt,Cellular ependymoma,,,,,,,
9391/3,Rpt,Clear cell ependymoma,,,,,,,
9391/3,Rpt,Tanycytic ependymoma,,,,,,,
9392/3,Rpt,"Ependymoma, anaplastic",,,,,,,
9392/3,Rpt,Ependymoblastoma,,,,,,,
9393/3,Rpt,Papillary ependymoma,,,,,,,
9394/1,Rpt select for,Myxopapillary ependymoma,"Brain, CNS, and Pituitary",,,,,,
9395/3,Rpt,Papillary tumor of the pineal region Use code 9361/3 in 2015,,X,,,,,
9400/3,Rpt,"Astrocytoma, NOS",,,,,,,
9400/3,Rpt,Astrocytic glioma,,,,,,,
9400/3,Rpt,Astroglioma,,,,,,,
9400/3,Rpt,Diffuse astrocytoma,,,,,,,
9400/3,Rpt,"Astrocytoma, low grade",,,,,,,
9400/3,Rpt,"Diffuse astrocytoma, low grade",,,,,,,
9401/3,Rpt,"Astrocytoma, anaplastic",,,,,,,
9410/3,Rpt,Acoustic neuroma,,,,,,,
9411/3,Rpt,Gemistocytic astrocytoma,,,,,,,
9411/3,Rpt,Gemistocytoma,,,,,,,
9412/1,Rpt select for,Desmoplastic infantile astrocytoma,"Brain, CNS, and Pituitary",,,,,,
9412/1,Rpt select for,Desmoplastic infantile ganglioglioma,"Brain, CNS, and Pituitary",,,,,,
9413/0,Rpt select for,Dysembryoplastic neuroepithelial tumor,"Brain, CNS, and Pituitary",,,,,,
9420/3,Rpt,Fibrillary astrocytoma,,,,,,,
9420/3,Rpt,Fibrous astrocytoma,,,,,,,
9421/3,Rpt,Pilocytic astrocytoma (C71._),,,,,,,
9421/3,Rpt,Piloid astrocytoma,,,,,,,
9421/3,Rpt,Juvenile astrocytoma (C71._),,,,,,,
9423/3,Rpt,Polar spongioblastoma,,,,,,,
9423/3,Rpt,Spongioblastoma polare,,,,,,,
9424/3,Rpt,Pleomorphic xanthoastrocytoma,,,,,,,
9425/3,Rpt,Pilomyxoid astrocytoma Use code 9421/3 in 2015,,X,,,,,
9430/3,Rpt,Astroblastoma,,,,,,,
9431/1 ,Rpt select for,Angiocentric glioma  Use code 9380/1 in 2015,"Brain, CNS, and Pituitary",X,,,,,
9432/1,Rpt select for,Pituicytoma Use code 9380/1 in 2015,"Brain, CNS, and Pituitary",X,,,,,
9440/3,Rpt,"Glioblastoma, NOS",,,,,,,
9440/3,Rpt,Glioblastoma multiforme,,,,,,,
9440/3,Rpt,Spongioblastoma multiforme,,,,,,,
9441/3,Rpt,Giant cell glioblastoma,,,,,,,
9441/3,Rpt,Monstrocellular sarcoma,,,,,,,
9442/1,Rpt select for,Gliofibroma,"Brain, CNS, and Pituitary",,,,,,
9442/3,Rpt,Gliosarcoma,,,,,,,
9442/3,Rpt,Glioblastoma with sarcomatous component,,,,,,,
9444/1,Rpt select for,Chordoid glioma,"Brain, CNS, and Pituitary",,,,,,
9444/1,Rpt select for,Chordoid glioma of third ventricle,"Brain, CNS, and Pituitary",,,,,,
9450/3,Rpt,"Oligodendroglioma, NOS",,,,,,,
9451/3,Rpt,"Oligodendroglioma, anaplastic",,,,,,,
9460/3,Rpt,Oligodendroblastoma,,,,,,,
9470/3,Rpt,"Medulloblastoma, NOS",,,,,,,
9470/3,Rpt,Melanotic medulloblastoma,,,,,,,
9471/3,Rpt,Desmoplastic nodular medulloblastoma,,,,,,,
9471/3,Rpt,Desmoplastic medulloblastoma,,,,,,,
9471/3,Rpt,Medulloblastoma with extensive nodularity,,,,,,,
9472/3,Rpt,Medullomyoblastoma,,,,,,,
9473/3,Rpt,"Primitive neuroectodermal tumor, NOS",,,,,,,
9473/3,Rpt,"PNET, NOS",,,,,,,
9473/3,Rpt,"Central primitive neuroectodermal tumor, NOS",,,,,,,
9473/3,Rpt,CPNET,,,,,,,
9473/3,Rpt,Supratentorial PNET,,,,,,,
9474/3,Rpt,Large cell medulloblastoma,,,,,,,
9474/3,Rpt,Anaplastice medulloblastoma,,,,,,,
9480/3,Rpt,"Cerebellar sarcoma, NOS",,,,,,,
9490/0,Rpt select for,Ganglioneuroma,"Brain, CNS, and Pituitary",,,,,,
