diagnosis_name,icdo3_code,synonym_name
"malignant lymphoma, small b lymphocytic, nos",9670/3,malignant lymphoma small cell diffuse
"malignant lymphoma, lymphoplasmacytic",9671/3,"malignant lymphoma, lymphoplasmacytoid"
"malignant lymphoma, lymphoplasmacytic",9671/3,immunocytoma
"malignant lymphoma, lymphoplasmacytic",9671/3,"malignant lymphoma, plasmacytoid"
"malignant lymphoma, lymphoplasmacytic",9671/3,plasmacytic lymphoma
"malignant lymphoma, lymphoplasmacytic",9671/3,lymphoplasmacytic malignant lymphoma
"malignant lymphoma, lymphoplasmacytic",9671/3,malignant lymphoma lymphoplasmacytic
"malignant lymphoma, lymphoplasmacytic",9671/3,lymphoplasmacytoid malignant lymphoma
"malignant lymphoma, lymphoplasmacytic",9671/3,malignant lymphoma lymphoplasmacytoid
"malignant lymphoma, lymphoplasmacytic",9671/3,plasmacytoid malignant lymphoma
"malignant lymphoma, lymphoplasmacytic",9671/3,malignant lymphoma plasmacytoid
mantle cell lymphoma,9673/3,mantle zone lymphoma
mantle cell lymphoma,9673/3,"malignant lymphoma, lymphocytic, intermediate differentiation, diffuse"
mantle cell lymphoma,9673/3,"malignant lymphoma, centrocytic"
mantle cell lymphoma,9673/3,malignant lymphomatous polyposis
mantle cell lymphoma,9673/3,diffuse intermediate differentiation lymphocytic malignant lymphoma
mantle cell lymphoma,9673/3,malignant lymphoma lymphocytic intermediate differentiation diffuse
mantle cell lymphoma,9673/3,centrocytic malignant lymphoma
mantle cell lymphoma,9673/3,malignant lymphoma centrocytic
"malignant lymphoma, mixed small and large cell, diffuse",9675/3,"malignant lymphoma, mixed lymphocytic-histiocytic, diffuse"
"malignant lymphoma, mixed small and large cell, diffuse",9675/3,"malignant lymphoma, mixed cell type, diffuse"
"malignant lymphoma, mixed small and large cell, diffuse",9675/3,"malignant lymphoma, centroblastic- centrocytic,  nos"
"malignant lymphoma, mixed small and large cell, diffuse",9675/3,"malignant lymphoma, centroblastic- centrocytic, diffuse"
"malignant lymphoma, mixed small and large cell, diffuse",9675/3,diffuse mixed small and large cell malignant lymphoma
"malignant lymphoma, mixed small and large cell, diffuse",9675/3,malignant lymphoma mixed small and large cell diffuse
"malignant lymphoma, mixed small and large cell, diffuse",9675/3,diffuse mixed lymphocytic-histiocytic malignant lymphoma
"malignant lymphoma, mixed small and large cell, diffuse",9675/3,malignant lymphoma mixed lymphocytic-histiocytic diffuse
"malignant lymphoma, mixed small and large cell, diffuse",9675/3,diffuse mixed cell type malignant lymphoma
"malignant lymphoma, mixed small and large cell, diffuse",9675/3,malignant lymphoma mixed cell type diffuse
"malignant lymphoma, mixed small and large cell, diffuse",9675/3,centroblastic- centrocytic malignant lymphoma
"malignant lymphoma, mixed small and large cell, diffuse",9675/3,malignant lymphoma centroblastic- centrocytic
"malignant lymphoma, mixed small and large cell, diffuse",9675/3,diffuse centroblastic- centrocytic malignant lymphoma
"malignant lymphoma, mixed small and large cell, diffuse",9675/3,malignant lymphoma centroblastic- centrocytic diffuse
mediastinal large b-cell lymphoma,9679/3,thymic large b-cell lymphoma
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,"diffuse large b-cell lymphoma, nos"
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,"malignant lymphoma, large cell, nos"
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,"malignant lymphoma, large b-cell, nos"
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,"malignant lymphoma, histiocytic, nos"
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,"malignant lymphoma, histiocytic, diffuse"
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,"malignant lymphoma, large cell, cleaved and noncleaved"
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,"malignant lymphoma, large cell, diffuse, nos"
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,"malignant lymphoma, large cleaved cell, nos"
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,"malignant lymphoma, large cell, cleaved, diffuse"
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,"malignant lymphoma, large cell, cleaved, nos"
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,"malignant lymphoma, large cell,  noncleaved, diffuse"
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,"malignant lymphoma, large cell, noncleaved, nos"
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,"malignant lymphoma, noncleaved, diffuse, nos"
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,"malignant lymphoma, noncleaved, nos"
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,"malignant lymphoma, large b-cell, diffuse, centroblastic, nos"
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,"malignant lymphoma, centroblastic, nos"
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,"malignant lymphoma, centroblastic, diffuse"
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,intravascular large b-cell lymphoma
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,intravascular b-cell lymphoma
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,angioendotheliomatosis
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,angiotropic lymphoma
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,t-cell rich large b-cell lymphoma
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,histiocyte-rich large b-cell lymphoma
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,t-cell rich/histiocyte-rich large b-cell lymphoma
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,anaplastic large b-cell lymphoma
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,diffuse large b-cell malignant lymphoma
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,malignant lymphoma large b-cell diffuse
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,diffuse large b-cell lymphoma
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,large cell malignant lymphoma
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,malignant lymphoma large cell
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,large b-cell malignant lymphoma
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,malignant lymphoma large b-cell
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,histiocytic malignant lymphoma
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,malignant lymphoma histiocytic
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,diffuse histiocytic malignant lymphoma
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,malignant lymphoma histiocytic diffuse
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,cleaved and noncleaved large cell malignant lymphoma
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,malignant lymphoma large cell cleaved and noncleaved
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,diffuse large cell malignant lymphoma
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,malignant lymphoma large cell diffuse
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,large cleaved cell malignant lymphoma
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,malignant lymphoma large cleaved cell
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,diffuse cleaved large cell malignant lymphoma
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,malignant lymphoma large cell cleaved diffuse
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,cleaved large cell malignant lymphoma
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,malignant lymphoma large cell cleaved
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,diffuse noncleaved large cell malignant lymphoma
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,malignant lymphoma large cell noncleaved diffuse
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,noncleaved large cell malignant lymphoma
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,malignant lymphoma large cell noncleaved
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,diffuse noncleaved malignant lymphoma
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,malignant lymphoma noncleaved diffuse
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,noncleaved malignant lymphoma
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,malignant lymphoma noncleaved
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,centroblastic diffuse large b-cell malignant lymphoma
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,malignant lymphoma large b-cell diffuse centroblastic
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,centroblastic malignant lymphoma
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,malignant lymphoma centroblastic
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,diffuse centroblastic malignant lymphoma
"malignant lymphoma, large b-cell, diffuse, nos",9680/3,malignant lymphoma centroblastic diffuse
"malignant lymphoma, large b-cell, diffuse, immunoblastic, nos",9684/3,"malignant lymphoma, immunoblastic, nos"
"malignant lymphoma, large b-cell, diffuse, immunoblastic, nos",9684/3,immunoblastic sarcoma
"malignant lymphoma, large b-cell, diffuse, immunoblastic, nos",9684/3,"malignant lymphoma, large cell, immunoblastic"
"malignant lymphoma, large b-cell, diffuse, immunoblastic, nos",9684/3,plasmablastic lymphoma
"malignant lymphoma, large b-cell, diffuse, immunoblastic, nos",9684/3,immunoblastic diffuse large b-cell malignant lymphoma
"malignant lymphoma, large b-cell, diffuse, immunoblastic, nos",9684/3,malignant lymphoma large b-cell diffuse immunoblastic
"malignant lymphoma, large b-cell, diffuse, immunoblastic, nos",9684/3,immunoblastic malignant lymphoma
"malignant lymphoma, large b-cell, diffuse, immunoblastic, nos",9684/3,malignant lymphoma immunoblastic
"malignant lymphoma, large b-cell, diffuse, immunoblastic, nos",9684/3,immunoblastic large cell malignant lymphoma
"malignant lymphoma, large b-cell, diffuse, immunoblastic, nos",9684/3,malignant lymphoma large cell immunoblastic
"burkitt lymphoma, nos",9687/3,burkitt tumor
"burkitt lymphoma, nos",9687/3,"malignant lymphoma, undifferentiated, burkitt type"
"burkitt lymphoma, nos",9687/3,"malignant lymphoma, small noncleaved, burkitt type"
"burkitt lymphoma, nos",9687/3,burkitt-like lymphoma
"burkitt lymphoma, nos",9687/3,burkitt lymphoma
"burkitt lymphoma, nos",9687/3,burkitt type undifferentiated malignant lymphoma
"burkitt lymphoma, nos",9687/3,malignant lymphoma undifferentiated burkitt type
"burkitt lymphoma, nos",9687/3,burkitt type small noncleaved malignant lymphoma
"burkitt lymphoma, nos",9687/3,malignant lymphoma small noncleaved burkitt type
splenic marginal zone b-cell lymphoma,9689/3,"splenic marginal zone lymphoma, nos"
splenic marginal zone b-cell lymphoma,9689/3,splenic lymphoma with villous lymphocytes
splenic marginal zone b-cell lymphoma,9689/3,splenic marginal zone lymphoma
"follicular lymphoma, nos",9690/3,"malignant lymphoma, follicular, nos"
"follicular lymphoma, nos",9690/3,"malignant lymphoma, follicle center, follicular"
"follicular lymphoma, nos",9690/3,"malignant lymphoma, follicle center, nos"
"follicular lymphoma, nos",9690/3,"malignant lymphoma, centroblastic- centrocytic, follicular"
"follicular lymphoma, nos",9690/3,"malignant lymphoma, nodular, nos"
"follicular lymphoma, nos",9690/3,"malignant lymphoma, lymphocytic, nodular, nos"
"follicular lymphoma, nos",9690/3,follicular lymphoma
"follicular lymphoma, nos",9690/3,follicular malignant lymphoma
"follicular lymphoma, nos",9690/3,malignant lymphoma follicular
"follicular lymphoma, nos",9690/3,follicular follicle center malignant lymphoma
"follicular lymphoma, nos",9690/3,malignant lymphoma follicle center follicular
"follicular lymphoma, nos",9690/3,follicle center malignant lymphoma
"follicular lymphoma, nos",9690/3,malignant lymphoma follicle center
"follicular lymphoma, nos",9690/3,follicular centroblastic- centrocytic malignant lymphoma
"follicular lymphoma, nos",9690/3,malignant lymphoma centroblastic- centrocytic follicular
"follicular lymphoma, nos",9690/3,nodular malignant lymphoma
"follicular lymphoma, nos",9690/3,malignant lymphoma nodular
"follicular lymphoma, nos",9690/3,nodular lymphocytic malignant lymphoma
"follicular lymphoma, nos",9690/3,malignant lymphoma lymphocytic nodular
"follicular lymphoma, grade 2",9691/3,"malignant lymphoma, mixed small cleaved and large cell, follicular"
"follicular lymphoma, grade 2",9691/3,"malignant lymphoma, mixed lymphocytic-histiocytic, nodular"
"follicular lymphoma, grade 2",9691/3,"malignant lymphoma, mixed cell type, follicular"
"follicular lymphoma, grade 2",9691/3,"malignant lymphoma, mixed cell type, nodular"
"follicular lymphoma, grade 2",9691/3,grade 2 follicular lymphoma
"follicular lymphoma, grade 2",9691/3,follicular lymphoma grade 2
"follicular lymphoma, grade 2",9691/3,follicular mixed small cleaved and large cell malignant lymphoma
"follicular lymphoma, grade 2",9691/3,malignant lymphoma mixed small cleaved and large cell follicular
"follicular lymphoma, grade 2",9691/3,nodular mixed lymphocytic-histiocytic malignant lymphoma
"follicular lymphoma, grade 2",9691/3,malignant lymphoma mixed lymphocytic-histiocytic nodular
"follicular lymphoma, grade 2",9691/3,follicular mixed cell type malignant lymphoma
"follicular lymphoma, grade 2",9691/3,malignant lymphoma mixed cell type follicular
"follicular lymphoma, grade 2",9691/3,nodular mixed cell type malignant lymphoma
"follicular lymphoma, grade 2",9691/3,malignant lymphoma mixed cell type nodular
"follicular lymphoma, grade 1",9695/3,"malignant lymphoma, small cleaved cell, follicular"
"follicular lymphoma, grade 1",9695/3,"follicular lymphoma, small cleaved cell"
"follicular lymphoma, grade 1",9695/3,"malignant lymphoma, lymphocytic, poorly differentiated, nodular"
"follicular lymphoma, grade 1",9695/3,grade 1 follicular lymphoma
"follicular lymphoma, grade 1",9695/3,follicular lymphoma grade 1
"follicular lymphoma, grade 1",9695/3,follicular small cleaved cell malignant lymphoma
"follicular lymphoma, grade 1",9695/3,malignant lymphoma small cleaved cell follicular
"follicular lymphoma, grade 1",9695/3,small cleaved cell follicular lymphoma
"follicular lymphoma, grade 1",9695/3,follicular lymphoma small cleaved cell
"follicular lymphoma, grade 1",9695/3,nodular poorly differentiated lymphocytic malignant lymphoma
"follicular lymphoma, grade 1",9695/3,malignant lymphoma lymphocytic poorly differentiated nodular
"follicular lymphoma, grade 3",9698/3,"malignant lymphoma, large cell, follicular, nos"
"follicular lymphoma, grade 3",9698/3,"malignant lymphoma, large cell, noncleaved, follicular"
"follicular lymphoma, grade 3",9698/3,"malignant lymphoma, histiocytic, nodular"
"follicular lymphoma, grade 3",9698/3,"malignant lymphoma, noncleaved cell, follicular, nos"
"follicular lymphoma, grade 3",9698/3,"malignant lymphoma, large cleaved cell, follicular"
"follicular lymphoma, grade 3",9698/3,"malignant lymphoma, centroblastic, follicular"
"follicular lymphoma, grade 3",9698/3,"malignant lymphoma, lymphocytic, well differentiated, nodular"
"follicular lymphoma, grade 3",9698/3,grade 3 follicular lymphoma
"follicular lymphoma, grade 3",9698/3,follicular lymphoma grade 3
"follicular lymphoma, grade 3",9698/3,follicular large cell malignant lymphoma
"follicular lymphoma, grade 3",9698/3,malignant lymphoma large cell follicular
"follicular lymphoma, grade 3",9698/3,follicular noncleaved large cell malignant lymphoma
"follicular lymphoma, grade 3",9698/3,malignant lymphoma large cell noncleaved follicular
"follicular lymphoma, grade 3",9698/3,nodular histiocytic malignant lymphoma
"follicular lymphoma, grade 3",9698/3,malignant lymphoma histiocytic nodular
"follicular lymphoma, grade 3",9698/3,follicular noncleaved cell malignant lymphoma
"follicular lymphoma, grade 3",9698/3,malignant lymphoma noncleaved cell follicular
"follicular lymphoma, grade 3",9698/3,follicular large cleaved cell malignant lymphoma
"follicular lymphoma, grade 3",9698/3,malignant lymphoma large cleaved cell follicular
"follicular lymphoma, grade 3",9698/3,follicular centroblastic malignant lymphoma
"follicular lymphoma, grade 3",9698/3,malignant lymphoma centroblastic follicular
"follicular lymphoma, grade 3",9698/3,nodular well differentiated lymphocytic malignant lymphoma
"follicular lymphoma, grade 3",9698/3,malignant lymphoma lymphocytic well differentiated nodular
"marginal zone b-cell lymphoma, nos",9699/3,"marginal zone lymphoma, nos"
"marginal zone b-cell lymphoma, nos",9699/3,mucosal-associated lymphoid tissue lymphoma
"marginal zone b-cell lymphoma, nos",9699/3,malt lymphoma
"marginal zone b-cell lymphoma, nos",9699/3,bronchial-associated lymphoid tissue lymphoma
"marginal zone b-cell lymphoma, nos",9699/3,balt lymphoma
"marginal zone b-cell lymphoma, nos",9699/3,skin-associated lymphoid tissue lymphoma
"marginal zone b-cell lymphoma, nos",9699/3,salt lymphoma
"marginal zone b-cell lymphoma, nos",9699/3,monocytoid b-cell lymphoma
"marginal zone b-cell lymphoma, nos",9699/3,nodal marginal zone lymphoma
"marginal zone b-cell lymphoma, nos",9699/3,marginal zone b-cell lymphoma
"marginal zone b-cell lymphoma, nos",9699/3,marginal zone lymphoma
mycosis fungoides,9700/3,pagetoid reticulosis
sezary syndrome,9701/3,sezary disease
"mature t-cell lymphoma, nos",9702/3,"peripheral t-cell lymphoma, nos"
"mature t-cell lymphoma, nos",9702/3,"t-cell lymphoma, nos"
"mature t-cell lymphoma, nos",9702/3,"peripheral t-cell lymphoma, pleomorphic small cell"
"mature t-cell lymphoma, nos",9702/3,"peripheral t-cell lymphoma, pleomorphic medium and large cell"
"mature t-cell lymphoma, nos",9702/3,"peripheral t-cell lymphoma, large cell"
"mature t-cell lymphoma, nos",9702/3,t-zone lymphoma
"mature t-cell lymphoma, nos",9702/3,lymphoepithelioid lymphoma
"mature t-cell lymphoma, nos",9702/3,lennert lymphoma
"mature t-cell lymphoma, nos",9702/3,mature t-cell lymphoma
"mature t-cell lymphoma, nos",9702/3,peripheral t-cell lymphoma
"mature t-cell lymphoma, nos",9702/3,t-cell lymphoma
"mature t-cell lymphoma, nos",9702/3,pleomorphic small cell peripheral t-cell lymphoma
"mature t-cell lymphoma, nos",9702/3,peripheral t-cell lymphoma pleomorphic small cell
"mature t-cell lymphoma, nos",9702/3,pleomorphic medium and large cell peripheral t-cell lymphoma
"mature t-cell lymphoma, nos",9702/3,peripheral t-cell lymphoma pleomorphic medium and large cell
"mature t-cell lymphoma, nos",9702/3,large cell peripheral t-cell lymphoma
"mature t-cell lymphoma, nos",9702/3,peripheral t-cell lymphoma large cell
angioimmunoblastic t-cell lymphoma,9705/3,"peripheral t-cell lymphoma, aild (angioimmunoblastic"
angioimmunoblastic t-cell lymphoma,9705/3,angioimmunoblastic lymphoma
angioimmunoblastic t-cell lymphoma,9705/3,aild (angioimmunoblastic peripheral t-cell lymphoma
angioimmunoblastic t-cell lymphoma,9705/3,peripheral t-cell lymphoma aild (angioimmunoblastic
"cutaneous t-cell lymphoma, nos",9709/3,"cutaneous lymphoma, nos"
"cutaneous t-cell lymphoma, nos",9709/3,cutaneous t-cell lymphoma
"cutaneous t-cell lymphoma, nos",9709/3,cutaneous lymphoma
"anaplastic large cell lymphoma, t cell and null cell type",9714/3,large cell (ki-1+) lymphoma
"anaplastic large cell lymphoma, t cell and null cell type",9714/3,"anaplastic large cell lymphoma, nos"
"anaplastic large cell lymphoma, t cell and null cell type",9714/3,"anaplastic large cell lymphoma, cd30+"
"anaplastic large cell lymphoma, t cell and null cell type",9714/3,t cell and null cell type anaplastic large cell lymphoma
"anaplastic large cell lymphoma, t cell and null cell type",9714/3,anaplastic large cell lymphoma t cell and null cell type
"anaplastic large cell lymphoma, t cell and null cell type",9714/3,anaplastic large cell lymphoma
"anaplastic large cell lymphoma, t cell and null cell type",9714/3,cd30+ anaplastic large cell lymphoma
"anaplastic large cell lymphoma, t cell and null cell type",9714/3,anaplastic large cell lymphoma cd30+
intestinal t-cell lymphoma,9717/3,enteropathy type intestinal t-cell lymphoma
intestinal t-cell lymphoma,9717/3,enteropathy associated t-cell lymphoma
primary cutaneous cd30+ t-cell lymphoproliferative disorder,9718/3,lymphomatoid papulosis
primary cutaneous cd30+ t-cell lymphoproliferative disorder,9718/3,primary cutaneous anaplastic large cell lymphoma
primary cutaneous cd30+ t-cell lymphoproliferative disorder,9718/3,primary cutaneous cd30+ large t-cell lymphoma
"nk/t-cell lymphoma, nasal and nasal-type",9719/3,t/nk-cell lymphoma
"nk/t-cell lymphoma, nasal and nasal-type",9719/3,angiocentric t-cell lymphoma
"nk/t-cell lymphoma, nasal and nasal-type",9719/3,"malignant reticulosis, nos"
"nk/t-cell lymphoma, nasal and nasal-type",9719/3,malignant midline reticulosis
"nk/t-cell lymphoma, nasal and nasal-type",9719/3,polymorphic reticulosis
"nk/t-cell lymphoma, nasal and nasal-type",9719/3,nasal and nasal-type nk/t-cell lymphoma
"nk/t-cell lymphoma, nasal and nasal-type",9719/3,nk/t-cell lymphoma nasal and nasal-type
"nk/t-cell lymphoma, nasal and nasal-type",9719/3,malignant reticulosis
"precursor cell lymphoblastic lymphoma, nos",9727/3,"malignant lymphoma, lymphoblastic, nos"
"precursor cell lymphoblastic lymphoma, nos",9727/3,"malignant lymphoma, convoluted cell"
"precursor cell lymphoblastic lymphoma, nos",9727/3,lymphoblastoma
"precursor cell lymphoblastic lymphoma, nos",9727/3,precursor cell lymphoblastic lymphoma
"precursor cell lymphoblastic lymphoma, nos",9727/3,lymphoblastic malignant lymphoma
"precursor cell lymphoblastic lymphoma, nos",9727/3,malignant lymphoma lymphoblastic
"precursor cell lymphoblastic lymphoma, nos",9727/3,convoluted cell malignant lymphoma
"precursor cell lymphoblastic lymphoma, nos",9727/3,malignant lymphoma convoluted cell
"plasmacytoma, nos",9731/3,plasmacytoma of bone
"plasmacytoma, nos",9731/3,plasma cell tumor
"plasmacytoma, nos",9731/3,solitary myeloma
"plasmacytoma, nos",9731/3,solitary plasmacytoma
"plasmacytoma, nos",9731/3,plasmacytoma
multiple myeloma,9732/3,"myeloma, nos"
multiple myeloma,9732/3,myelomatosis
multiple myeloma,9732/3,plasma cell myeloma
multiple myeloma,9732/3,myeloma
plasma cell leukemia,9733/3,plasmacytic leukemia
"plasmacytoma, extramedullary (not occurring in bone)",9734/3,extramedullary (not occurring in bone) plasmacytoma
"plasmacytoma, extramedullary (not occurring in bone)",9734/3,plasmacytoma extramedullary (not occurring in bone)
"mastocytoma, nos",9740/1,"mast cell tumor, nos"
"mastocytoma, nos",9740/1,mastocytoma
"mastocytoma, nos",9740/1,mast cell tumor
mast cell sarcoma,9740/3,malignant mast cell tumor
mast cell sarcoma,9740/3,malignant mastocytoma
malignant mastocytosis,9741/3,systemic tissue mast cell disease
malignant histiocytosis,9750/3,histiocytic medullary reticulosis
"langerhans cell histiocytosis, nos",9751/1,langerhans cell granulomatosis
"langerhans cell histiocytosis, nos",9751/1,"histiocytosis x, nos"
"langerhans cell histiocytosis, nos",9751/1,langerhans cell histiocytosis
"langerhans cell histiocytosis, nos",9751/1,histiocytosis x
"langerhans cell histiocytosis, unifocal",9752/1,"langerhans cell granulomatosis, unifocal"
"langerhans cell histiocytosis, unifocal",9752/1,"langerhans cell histiocytosis, mono-ostotic"
"langerhans cell histiocytosis, unifocal",9752/1,eosinophilic granuloma
"langerhans cell histiocytosis, unifocal",9752/1,unifocal langerhans cell histiocytosis
"langerhans cell histiocytosis, unifocal",9752/1,langerhans cell histiocytosis unifocal
"langerhans cell histiocytosis, unifocal",9752/1,unifocal langerhans cell granulomatosis
"langerhans cell histiocytosis, unifocal",9752/1,langerhans cell granulomatosis unifocal
"langerhans cell histiocytosis, unifocal",9752/1,mono-ostotic langerhans cell histiocytosis
"langerhans cell histiocytosis, unifocal",9752/1,langerhans cell histiocytosis mono-ostotic
"langerhans cell histiocytosis, multifocal",9753/1,"langerhans cell histiocytosis, poly-ostotic"
"langerhans cell histiocytosis, multifocal",9753/1,hand-schuller-christian disease
"langerhans cell histiocytosis, multifocal",9753/1,multifocal langerhans cell histiocytosis
"langerhans cell histiocytosis, multifocal",9753/1,langerhans cell histiocytosis multifocal
"langerhans cell histiocytosis, multifocal",9753/1,poly-ostotic langerhans cell histiocytosis
"langerhans cell histiocytosis, multifocal",9753/1,langerhans cell histiocytosis poly-ostotic
"langerhans cell histiocytosis, disseminated",9754/3,"langerhans cell histiocytosis, generalized"
"langerhans cell histiocytosis, disseminated",9754/3,letterer-siwe disease
"langerhans cell histiocytosis, disseminated",9754/3,acute progressive histiocytosis x
"langerhans cell histiocytosis, disseminated",9754/3,nonlipid reticuloendotheliosis
"langerhans cell histiocytosis, disseminated",9754/3,disseminated langerhans cell histiocytosis
"langerhans cell histiocytosis, disseminated",9754/3,langerhans cell histiocytosis disseminated
"langerhans cell histiocytosis, disseminated",9754/3,generalized langerhans cell histiocytosis
"langerhans cell histiocytosis, disseminated",9754/3,langerhans cell histiocytosis generalized
histiocytic sarcoma,9755/3,true histiocytic lymphoma
interdigitating dendritic cell sarcoma,9757/3,interdigitating cell sarcoma
interdigitating dendritic cell sarcoma,9757/3,"dendritic cell sarcoma, nos"
interdigitating dendritic cell sarcoma,9757/3,dendritic cell sarcoma
follicular dendritic cell sarcoma,9758/3,follicular dendritic cell tumor
"immunoproliferative disease, nos",9760/3,immunoproliferative disease
"heavy chain disease, nos",9762/3,alpha heavy chain disease
"heavy chain disease, nos",9762/3,mu heavy chain disease
"heavy chain disease, nos",9762/3,gamma heavy chain disease
"heavy chain disease, nos",9762/3,franklin disease
"heavy chain disease, nos",9762/3,heavy chain disease
immunoproliferative small intestinal  disease,9764/3,mediterranean lymphoma
monoclonal gammopathy of undetermined significance,9765/1,mgus
monoclonal gammopathy of undetermined significance,9765/1,"monoclonal gammopathy, nos"
monoclonal gammopathy of undetermined significance,9765/1,monoclonal gammopathy
angiocentric immunoproliferative lesion,9766/1,lymphoid granulomatosis
angioimmunoblastic lymphadenopathy (aic),9767/1,immunoblastic lymphadenopathy (ibl) [obs]
immunoglobulin deposition disease,9769/1,systemic light chain disease
immunoglobulin deposition disease,9769/1,primary amyloidosis
"leukemia, nos",9800/3,"subacute leukemia, nos"
"leukemia, nos",9800/3,"chronic leukemia, nos"
"leukemia, nos",9800/3,"aleukemic leukemia, nos"
"leukemia, nos",9800/3,leukemia
"leukemia, nos",9800/3,subacute leukemia
"leukemia, nos",9800/3,chronic leukemia
"leukemia, nos",9800/3,aleukemic leukemia
"acute leukemia, nos",9801/3,blast cell leukemia
"acute leukemia, nos",9801/3,undifferentiated leukemia
"acute leukemia, nos",9801/3,stem cell leukemia
"acute leukemia, nos",9801/3,acute leukemia
acute biphenotypic leukemia,9805/3,acute mixed lineage leukemia
acute biphenotypic leukemia,9805/3,acute bilineal leukemia
"lymphoid leukemia, nos",9820/3,"lymphocytic leukemia, nos"
"lymphoid leukemia, nos",9820/3,"lymphatic leukemia, nos"
"lymphoid leukemia, nos",9820/3,subacute lymphoid leukemia
"lymphoid leukemia, nos",9820/3,subacute lymphocytic leukemia
"lymphoid leukemia, nos",9820/3,subacute lymphatic leukemia
"lymphoid leukemia, nos",9820/3,aleukemic lymphoid leukemia
"lymphoid leukemia, nos",9820/3,aleukemic lymphocytic leukemia
"lymphoid leukemia, nos",9820/3,aleukemic lymphatic leukemia
"lymphoid leukemia, nos",9820/3,lymphosarcoma cell leukemia
"lymphoid leukemia, nos",9820/3,lymphoid leukemia
"lymphoid leukemia, nos",9820/3,lymphocytic leukemia
"lymphoid leukemia, nos",9820/3,lymphatic leukemia
b-cell chronic lymphocytic leukemia/small lymphocytic lymphoma,9823/3,"chronic lymphocytic leukemia, b-cell type"
b-cell chronic lymphocytic leukemia/small lymphocytic lymphoma,9823/3,chronic lymphocytic leukemia
b-cell chronic lymphocytic leukemia/small lymphocytic lymphoma,9823/3,chronic lymphoid leukemia
b-cell chronic lymphocytic leukemia/small lymphocytic lymphoma,9823/3,chronic lymphatic leukemia
b-cell chronic lymphocytic leukemia/small lymphocytic lymphoma,9823/3,b-cell type chronic lymphocytic leukemia
b-cell chronic lymphocytic leukemia/small lymphocytic lymphoma,9823/3,chronic lymphocytic leukemia b-cell type
